wilson	loop	72	2.98E-01	1.24E-01	4.67E-02	3.53E-02			
wilson	loop	73	2.94E-01	1.15E-01	4.25E-02	2.61E-02			
wilson	loop	74	2.99E-01	1.18E-01	5.16E-02	3.75E-02			
wilson	loop	75	2.95E-01	1.14E-01	4.11E-02	2.03E-02			
wilson	loop	76	2.95E-01	1.16E-01	4.34E-02	4.30E-02			
wilson	loop	77	2.99E-01	1.20E-01	5.37E-02	4.92E-02			
wilson	loop	78	3.00E-01	1.17E-01	3.40E-02	2.94E-02			
wilson	loop	79	2.95E-01	1.19E-01	4.80E-02	1.03E-02			
wilson	loop	80	2.97E-01	1.18E-01	5.91E-02	3.39E-02			
wilson	loop	81	2.97E-01	1.16E-01	4.83E-02	3.45E-02			
wilson	loop	82	2.96E-01	1.16E-01	5.73E-02	1.03E-02			
wilson	loop	83	2.98E-01	1.17E-01	3.52E-02	2.65E-02			
wilson	loop	84	3.00E-01	1.14E-01	4.83E-02	1.06E-02			
wilson	loop	85	2.98E-01	1.11E-01	5.19E-02	4.92E-02			
wilson	loop	86	2.98E-01	1.16E-01	5.37E-02	1.19E-03			
wilson	loop	87	2.95E-01	1.21E-01	5.00E-02	3.06E-02			
wilson	loop	88	2.98E-01	1.26E-01	5.78E-02	4.80E-02			
wilson	loop	89	2.97E-01	1.18E-01	4.60E-02	-4.53E-04			
wilson	loop	90	3.00E-01	1.17E-01	5.11E-02	1.02E-02			
wilson	loop	91	2.95E-01	1.18E-01	3.64E-02	2.46E-02			
wilson	loop	92	2.96E-01	1.15E-01	4.59E-02	2.95E-02			
wilson	loop	93	2.97E-01	1.16E-01	5.34E-02	4.26E-02			
wilson	loop	94	2.94E-01	1.11E-01	4.88E-02	4.87E-02			
wilson	loop	95	2.95E-01	1.12E-01	4.75E-02	2.73E-02			
wilson	loop	96	2.96E-01	1.20E-01	4.75E-02	3.85E-02			
wilson	loop	97	2.95E-01	1.14E-01	5.19E-02	9.51E-03			
wilson	loop	98	2.97E-01	1.22E-01	3.85E-02	2.81E-02			
wilson	loop	99	2.97E-01	1.16E-01	3.36E-02	7.21E-03			
wilson	loop	10	2.99E-01	1.19E-01	4.60E-02	3.39E-02			
MEAS	2.97E-01	1.17E-01	4.74E-02	2.46E-02					
